# epoch  line-search objective  step  its  ok
579    0.13893498E+01    0.1000E+01    1   T
580    0.13854565E+01    0.1000E+01    1   T
581    0.13825954E+01    0.1000E+01    1   T
582    0.13789010E+01    0.1000E+01    1   T
583    0.13752085E+01    0.1000E+01    1   T
584    0.13686940E+01    0.1000E+01    1   T
585    0.13633981E+01    0.1000E+01    1   T
586    0.13589033E+01    0.1000E+01    1   T
587    0.13546963E+01    0.1000E+01    1   T
588    0.13501048E+01    0.1000E+01    1   T
589    0.13420312E+01    0.1000E+01    1   T
590    0.13338637E+01    0.1000E+01    1   T
591    0.13271457E+01    0.1000E+01    1   T
592    0.13192276E+01    0.1000E+01    1   T
593    0.13139734E+01    0.1000E+01    1   T
594    0.13075425E+01    0.1000E+01    1   T
595    0.13039966E+01    0.1000E+01    1   T
596    0.12992977E+01    0.1000E+01    1   T
597    0.12929173E+01    0.1000E+01    1   T
598    0.12859120E+01    0.1000E+01    1   T
599    0.12768272E+01    0.1000E+01    1   T
600    0.12670452E+01    0.1000E+01    1   T
601    0.12602204E+01    0.1000E+01    1   T
602    0.12549789E+01    0.1000E+01    1   T
603    0.12511793E+01    0.1000E+01    1   T
604    0.12459801E+01    0.1000E+01    1   T
